,Animal,GENDER,Genotype (I.D.),PCA,Pain Score,Paw Height (mm),Paw Velocity (mm/s),Stimulus,TIME,TiME,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Zscore Height,Zscore Pain,Zscore Velocity,file,pca1,Paw Velocity (mm/s)_scaled,Paw Height (mm)_scaled,Pain Score_scaled,used for training,p_pain
36,7.0,,CD1,,2.0,9.56,2727.03,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,2.37959773852702,3.907637964182131,-0.42577994097657335,0.6984026577506816,,0.8661408006868713
37,8.0,,CD1,,4.0,21.51,1262.28,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,2.461970232702041,0.6969799478162779,1.1559173037670627,2.4194987014942546,,0.8649738120761199
38,9.0,,CD1,,1.0,15.81,809.48,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-0.024831903152959203,-0.2955347815303394,0.4014675719646588,-0.16214536412110495,,0.818778556328648
39,10.0,,CD1,,3.0,17.91,2005.71,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,2.6198777117795293,2.326540957617859,0.6794227363129128,1.5589506796224681,,0.8635840793602736
0,1.0,,C57,,0.0,3.95,50.6,cotton swab,,,,,,,,,,,,,,,,C57 male.csv,-2.3916208968711756,-1.9589614109617906,-1.1683173085926235,-1.0226933859928915,,0.23350619614083
1,2.0,,C57,,0.0,4.96,165.3,cotton swab,,,,,,,,,,,,,,,,C57 male.csv,-2.1692717685113863,-1.7075448043892265,-1.0346341105013204,-1.0226933859928915,,0.1614059893011364
2,3.0,,C57,,0.0,9.55,380.55,cotton swab,,,,,,,,,,,,,,,,C57 male.csv,-1.5418175477902636,-1.2357276765361802,-0.42710353699727927,-1.0226933859928915,,0.086676726839034
3,4.0,,C57,,0.0,7.38,580.0,cotton swab,,,,,,,,,,,,,,,,C57 male.csv,-1.46143828206023,-0.7985433506347162,-0.7143238734904752,-1.0226933859928915,,0.0884818401720737
4,5.0,,C57,,0.0,5.43,258.67,cotton swab,,,,,,,,,,,,,,,,C57 male.csv,-2.015742209739086,-1.5028824804512986,-0.9724250975281397,-1.0226933859928915,,0.1270169690255396
5,6.0,,C57,,1.0,6.53,931.32,cotton swab,,,,,,,,,,,,,,,,C57 male.csv,-0.5961941706549981,-0.02846765559484495,-0.8268295352504828,-0.16214536412110495,,0.46344246412703743
6,7.0,,C57,,0.0,5.76,442.89,cotton swab,,,,,,,,,,,,,,,,C57 male.csv,-1.7594189742992683,-1.0990815452917717,-0.9287464288448426,-1.0226933859928915,,0.09424819306793152
7,8.0,,C57,,0.0,5.5,30.56,cotton swab,,,,,,,,,,,,,,,,C57 male.csv,-2.295800064913891,-2.0028880787535446,-0.9631599253831978,-1.0226933859928915,,0.1992228915698875
