Genotype (I.D.),Animal,Stimulus,Paw Velocity (mm/s),Paw Height (mm),Pain Score,TIME
C57 uninjured,"Cage3, Animal 0",0.6 VFH,523.49,7.1,2,Week 3
C57 uninjured,"Cage3, Animal 2",0.6 VFH,860.23,4.8,0,Week 3
C57 uninjured,"Cage3, Animal 3",0.6 VFH,430.08,3.6,1,Week 3
C57 uninjured,"Cage3, Animal 4",0.6 VFH,1149.06,4.97,1,Week 3
C57 uninjured,"Cage1, Animal 1",1.4 VFH,933.73,11.36,3,Week 3
C57 uninjured,"Cage1, Animal 2",1.4 VFH,1285.53,12.02,1,Week 3
C57 uninjured,"Cage1, Animal 4",1.4 VFH,1332.3,8.6,2,Week 3
C57 uninjured,"Cage2, Animal 0",1.4 VFH,1058.7,5.35,1,Week 3
C57 uninjured,"Cage2, Animal 1",1.4 VFH,1415.11,15.63,1,Week 3
C57 uninjured,"Cage2, Animal 3",1.4 VFH,995.53,8.8,2,Week 3
C57 uninjured,"Cage3, Animal 0",1.4 VFH,687.63,5.39,2,Week 3
C57 uninjured,"Cage3, Animal 2",1.4 VFH,531.29,3.48,0,Week 3
C57 uninjured,"Cage3, Animal 3",1.4 VFH,1035.72,5.01,1,Week 3
C57 uninjured,"Cage3, Animal 4",1.4 VFH,573.85,4.5,1,Week 3
C57 uninjured,"Cage1, Animal 1",0.07 VFH,990.63,8.26,0,Week 4
C57 uninjured,"Cage1, Animal 2",0.07 VFH,1806.9,13.38,1,Week 4
C57 uninjured,"Cage1, Animal 4",0.07 VFH,1029.28,12.33,2,Week 4
C57 uninjured,"Cage2, Animal 0",0.07 VFH,757.6,5.75,0,Week 4
C57 uninjured,"Cage2, Animal 1",0.07 VFH,301.6,4.67,0,Week 4
C57 uninjured,"Cage2, Animal 3",0.07 VFH,755.13,11.33,0,Week 4
C57 uninjured,"Cage3, Animal 0",0.07 VFH,832.73,9.68,1,Week 4
C57 uninjured,"Cage3, Animal 2",0.07 VFH,3982.25,10.52,1,Week 4
C57 uninjured,"Cage3, Animal 3",0.07 VFH,307.2,4.55,0,Week 4
C57 uninjured,"Cage3, Animal 4",0.07 VFH,773.25,7.79,2,Week 4
C57 uninjured,"Cage1, Animal 1",0.6 VFH,980.17,4.4,1,Week 4
C57 uninjured,"Cage1, Animal 2",0.6 VFH,1231.8,6.47,1,Week 4
C57 uninjured,"Cage1, Animal 4",0.6 VFH,1067.18,9.25,0,Week 4
C57 uninjured,"Cage2, Animal 0",0.6 VFH,722.85,5.12,0,Week 4
C57 uninjured,"Cage2, Animal 1",0.6 VFH,1182.4,7.91,1,Week 4
C57 uninjured,"Cage2, Animal 3",0.6 VFH,509.68,9.68,0,Week 4
C57 uninjured,"Cage3, Animal 0",0.6 VFH,960.5,8.75,2,Week 4
C57 uninjured,"Cage3, Animal 2",0.6 VFH,1330.85,8.78,1,Week 4
C57 uninjured,"Cage3, Animal 3",0.6 VFH,531.05,6.64,0,Week 4
C57 uninjured,"Cage3, Animal 4",0.6 VFH,547.49,7.4,0,Week 4
