,Genotype (I.D.),Animal,Stimulus,Paw Velocity (mm/s),Paw Height (mm),Pain Score,TIME,file,pca1,Paw Velocity (mm/s)_scaled,Paw Height (mm)_scaled,Pain Score_scaled,used for training,p_pain
14,C57_injured,"Cage2, Animal 3",0.6 vfh,931.13,5.28,1.0,Baseline,CCI injured paw.csv,-0.7656918952128329,-0.21322391412337546,-1.012197145480605,-0.10014396379512873,,0.13499103495794545
15,C57_injured,"Cage3, Animal 0",0.6 vfh,978.4,8.27,1.0,Baseline,CCI injured paw.csv,-0.5399453563751101,-0.1534406809085994,-0.6813450585730335,-0.10014396379512873,,0.2257272762300497
16,C57_injured,"Cage3, Animal 3",0.6 vfh,915.66,6.47,2.0,Baseline,CCI injured paw.csv,-0.171831669064459,-0.23278910595397814,-0.880520227948829,0.8228418776346288,,0.5529823578371513
17,C57_injured,"Cage3, Animal 4",0.6 vfh,743.57,5.68,1.0,Baseline,CCI injured paw.csv,-0.8780497645587475,-0.45043447519304763,-0.9679359967304281,-0.10014396379512873,,0.11115477285085523
18,C57_injured,"Cage1, Animal 1",1.4 vfh,922.0,9.22,0.0,Baseline,CCI injured paw.csv,-1.0499546599263097,-0.22477079204279382,-0.5762248302913636,-1.0231298052248863,,0.08971579042801023
19,C57_injured,"Cage1, Animal 2",1.4 vfh,399.05,4.4,0.0,Baseline,CCI injured paw.csv,-1.7423508808118766,-0.8861552178872442,-1.1095716727309937,-1.0231298052248863,,0.072503787898195
20,C57_injured,"Cage1, Animal 4",1.4 vfh,1242.4,4.48,0.0,Baseline,CCI injured paw.csv,-1.117145720794161,0.18044494567699185,-1.1007194429809584,-1.0231298052248863,,0.08449549692670258
21,C57_injured,"Cage2, Animal 0",1.4 vfh,327.87,5.99,1.0,Baseline,CCI injured paw.csv,-1.16390237652776,-0.9761778652371016,-0.933633606449041,-0.10014396379512873,,0.08158247688502217
22,C57_injured,"Cage2, Animal 1",1.4 vfh,823.95,8.49,0.0,Baseline,CCI injured paw.csv,-1.1686781521250802,-0.3487764196439953,-0.6570014267604363,-1.0231298052248863,,0.08131354686430006
23,C57_injured,"Cage2, Animal 3",1.4 vfh,229.59,5.6,2.0,Baseline,CCI injured paw.csv,-0.7318548629249993,-1.1004743780432829,-0.9767882264804634,0.8228418776346288,,0.14437718625760304
